[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:14:08,796] Trial 53 finished with value: 73.35425360284756 and parameters: {'bias_alpha': 0.9994040592383939, 'bias_combine_ratio': 0.43370336745255744, 'max_weight': 0.7570823467827591, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:11,969] Trial 54 finished with value: 73.35425054051503 and parameters: {'bias_alpha': 0.9993352330217954, 'bias_combine_ratio': 0.43729081329775976, 'max_weight': 0.754496820232911, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:14,988] Trial 55 finished with value: 73.35292721289242 and parameters: {'bias_alpha': 0.9697188084099054, 'bias_combine_ratio': 0.41617585571667, 'max_weight': 0.7585307966477446, 'mape_window': 36, 'bias_window': 10, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:18,041] Trial 56 finished with value: 73.35003743162783 and parameters: {'bias_alpha': 0.9997125326998119, 'bias_combine_ratio': 0.4397766126757984, 'max_weight': 0.718586746370332, 'mape_window': 40, 'bias_window': 11, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:21,241] Trial 57 finished with value: 73.35369942389548 and parameters: {'bias_alpha': 0.9869722108912067, 'bias_combine_ratio': 0.4257818185072627, 'max_weight': 0.7859934396566847, 'mape_window': 37, 'bias_window': 12, 'short_vol_window': 14}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:24,308] Trial 58 finished with value: 73.35317516155955 and parameters: {'bias_alpha': 0.9752491295152896, 'bias_combine_ratio': 0.4418055675794291, 'max_weight': 0.7515250274775515, 'mape_window': 39, 'bias_window': 11, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:27,441] Trial 59 finished with value: 73.35245063323337 and parameters: {'bias_alpha': 0.959114243637122, 'bias_combine_ratio': 0.4155817037359225, 'max_weight': 0.7754657674266838, 'mape_window': 35, 'bias_window': 10, 'short_vol_window': 14}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:30,661] Trial 60 finished with value: 73.35372776776752 and parameters: {'bias_alpha': 0.9876035300602937, 'bias_combine_ratio': 0.4279428338784508, 'max_weight': 0.7899286303429865, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 9}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:33,649] Trial 61 finished with value: 73.35427558717554 and parameters: {'bias_alpha': 0.9998967951823935, 'bias_combine_ratio': 0.4367766317456093, 'max_weight': 0.7573949247663845, 'mape_window': 34, 'bias_window': 12, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:36,850] Trial 62 finished with value: 73.3542613631412 and parameters: {'bias_alpha': 0.999577070888916, 'bias_combine_ratio': 0.4384413504444415, 'max_weight': 0.7581076919441079, 'mape_window': 34, 'bias_window': 12, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
